Ticker,DQN_CumReturn,DQN_TotalTrades,DQN_WinRate,LSTM_CumReturn,LSTM_TotalTrades,LSTM_WinRate,ARIMA_CumReturn,ARIMA_TotalTrades,ARIMA_WinRate
ACC.NS,-0.002895943651625821,0,,,0,,,0,
ADANIENT.NS,-0.002895943651625821,0,,,0,,,0,
ADANIGREEN.NS,-0.002895943651625821,0,,,0,,,0,
ADANIPORTS.NS,-0.002895943651625821,0,,,0,,,0,
ASIANPAINT.NS,-0.002895943651625821,0,,,0,,,0,
AXISBANK.NS,-0.002895943651625821,0,,,0,,,0,
BAJAJ-AUTO.NS,-0.002895943651625821,0,,,0,,,0,
BAJAJFINSV.NS,-0.002895943651625821,0,,,0,,,0,
BAJFINANCE.NS,-0.002895943651625821,0,,,0,,,0,
BANDHANBNK.NS,-0.002895943651625821,0,,,0,,,0,
BHARTIARTL.NS,-0.002895943651625821,0,,,0,,,0,
BPCL.NS,-0.002895943651625821,0,,,0,,,0,
BRITANNIA.NS,-0.002895943651625821,0,,,0,,,0,
CIPLA.NS,-0.002895943651625821,0,,,0,,,0,
COALINDIA.NS,-0.002895943651625821,0,,,0,,,0,
COLPAL.NS,-0.002895943651625821,0,,,0,,,0,
DIVISLAB.NS,-0.002895943651625821,0,,,0,,,0,
EICHERMOT.NS,-0.002895943651625821,0,,,0,,,0,
GODREJCP.NS,-0.002895943651625821,0,,,0,,,0,
GRASIM.NS,-0.002895943651625821,0,,,0,,,0,
HCLTECH.NS,-0.002895943651625821,0,,,0,,,0,
HDFCBANK.NS,-0.002895943651625821,0,,,0,,,0,
HDFCLIFE.NS,-0.002895943651625821,0,,,0,,,0,
HINDALCO.NS,-0.002895943651625821,0,,,0,,,0,
HINDPETRO.NS,-0.002895943651625821,0,,,0,,,0,
HINDUNILVR.NS,-0.002895943651625821,0,,,0,,,0,
ICICIBANK.NS,-0.002895943651625821,0,,,0,,,0,
INDUSINDBK.NS,-0.002895943651625821,0,,,0,,,0,
INFY.NS,-0.002895943651625821,0,,,0,,,0,
IOC.NS,-0.002895943651625821,0,,,0,,,0,
ITC.NS,-0.002895943651625821,0,,,0,,,0,
JSWSTEEL.NS,-0.002895943651625821,0,,,0,,,0,
KOTAKBANK.NS,-0.002895943651625821,0,,,0,,,0,
LAURUSLABS.NS,-0.002895943651625821,0,,,0,,,0,
LICI.NS,-0.002895943651625821,0,,,0,,,0,
LT.NS,-0.002895943651625821,0,,,0,,,0,
M&M.NS,-0.002895943651625821,0,,,0,,,0,
MARUTI.NS,-0.002895943651625821,0,,,0,,,0,
NESTLEIND.NS,-0.002895943651625821,0,,,0,,,0,
NTPC.NS,-0.002895943651625821,0,,,0,,,0,
ONGC.NS,-0.002895943651625821,0,,,0,,,0,
PIDILITIND.NS,-0.002895943651625821,0,,,0,,,0,
POWERGRID.NS,-0.002895943651625821,0,,,0,,,0,
RELIANCE.NS,-0.002895943651625821,0,,,0,,,0,
SBILIFE.NS,-0.002895943651625821,0,,,0,,,0,
SBIN.NS,-0.002895943651625821,0,,,0,,,0,
SIEMENS.NS,-0.002895943651625821,0,,,0,,,0,
SRF.NS,-0.002895943651625821,0,,,0,,,0,
SUNPHARMA.NS,-0.002895943651625821,0,,,0,,,0,
TATACONSUM.NS,-0.002895943651625821,0,,,0,,,0,
TATAELXSI.NS,-0.002895943651625821,0,,,0,,,0,
TATAMOTORS.NS,-0.002895943651625821,0,,,0,,,0,
TATASTEEL.NS,-0.002895943651625821,0,,,0,,,0,
TCS.NS,-0.002895943651625821,0,,,0,,,0,
TITAN.NS,-0.002895943651625821,0,,,0,,,0,
TORNTPHARM.NS,-0.002895943651625821,0,,,0,,,0,
TVSMOTOR.NS,-0.002895943651625821,0,,,0,,,0,
ULTRACEMCO.NS,-0.002895943651625821,0,,,0,,,0,
VEDL.NS,-0.002895943651625821,0,,,0,,,0,
WIPRO.NS,-0.002895943651625821,0,,,0,,,0,
